NewIndex,Direct solar radiation mean [W/m2],Date
938,1.6,2006-11-25
939,0.8,2006-11-26
940,0.8,2006-11-27
941,5.6,2006-11-28
942,1.4,2006-11-29
943,6.5,2006-11-30
944,1.6,2006-12-01
945,1.5,2006-12-02
946,2.3,2006-12-03
947,2.1,2006-12-04
948,0.7,2006-12-05
949,1.1,2006-12-06
950,1.5,2006-12-07
951,0.9,2006-12-08
952,1.3,2006-12-09
953,1.6,2006-12-10
954,1.0,2006-12-11
955,1.2,2006-12-12
956,0.7,2006-12-13
957,1.6,2006-12-14
958,2.0,2006-12-15
959,3.3,2006-12-16
960,4.4,2006-12-17
961,3.1,2006-12-18
962,2.8,2006-12-19
963,2.8,2006-12-20
964,1.1,2006-12-21
965,0.4,2006-12-22
966,0.9,2006-12-23
967,1.5,2006-12-24
968,2.8,2006-12-25
969,1.2,2006-12-26
970,0.7,2006-12-27
971,1.2,2006-12-28
972,1.8,2006-12-29
973,2.3,2006-12-30
974,1.5,2006-12-31
975,2.1,2007-01-01
976,0.6,2010-11-01
977,95.6,2010-11-02
978,1.5,2010-11-03
979,2.0,2010-11-04
980,70.4,2010-11-05
981,3.7,2010-11-06
982,4.9,2010-11-07
983,39.1,2010-11-08
984,82.4,2010-11-09
985,1.8,2010-11-10
986,1.3,2010-11-11
987,2.2,2010-11-12
988,2.9,2010-11-13
989,4.3,2010-11-14
990,3.8,2010-11-15
991,65.0,2010-11-16
992,58.9,2010-11-17
993,1.3,2010-11-18
994,2.7,2010-11-19
995,4.2,2010-11-20
996,3.5,2010-11-21
997,1.1,2010-11-22
998,5.2,2010-11-23
999,3.4,2010-11-24
1000,2.7,2010-11-25
1001,2.4,2010-11-26
1002,3.3,2010-11-27
1003,2.5,2010-11-28
1004,2.5,2010-11-29
1005,4.4,2010-11-30
1006,2.2,2010-12-01
1007,1.5,2010-12-02
1008,0.7,2010-12-03
1009,1.1,2010-12-04
1010,1.0,2010-12-05
1011,0.9,2010-12-06
1012,1.4,2010-12-07
1013,4.3,2010-12-08
1014,3.4,2010-12-09
1015,3.6,2010-12-10
1016,2.3,2010-12-11
1017,1.5,2010-12-12
1018,2.3,2010-12-13
1019,2.3,2010-12-14
1020,1.9,2010-12-15
1021,0.3,2010-12-16
1022,1.7,2010-12-17
1023,2.0,2010-12-18
1024,2.8,2010-12-19
1025,3.0,2010-12-20
1026,1.9,2010-12-21
1027,3.6,2010-12-22
1028,3.1,2010-12-23
1029,2.6,2010-12-24
1030,3.7,2010-12-25
1031,2.0,2010-12-26
1032,3.1,2010-12-27
1033,3.4,2010-12-28
1034,2.2,2010-12-29
1035,0.9,2010-12-30
1036,1.3,2010-12-31
1037,1.5,2011-01-01
1038,1.6,2011-11-01
1039,5.8,2011-11-02
1040,1.9,2011-11-03
1041,1.4,2011-11-04
1042,1.5,2011-11-05
1043,1.1,2011-11-06
1044,0.9,2011-11-07
1045,33.0,2011-11-08
1046,73.9,2011-11-09
1047,1.9,2011-11-10
1048,3.8,2011-11-11
1049,1.7,2011-11-12
1050,1.8,2011-11-13
1051,46.2,2011-11-14
1052,6.0,2011-11-15
1053,2.0,2011-11-16
1054,32.3,2011-11-17
1055,2.2,2011-11-18
1056,28.6,2011-11-19
1057,43.8,2011-11-20
1058,2.5,2011-11-21
1059,2.0,2011-11-22
1060,0.8,2011-11-23
1061,1.1,2011-11-24
1062,1.0,2011-11-25
1063,1.4,2011-11-26
1064,11.4,2011-11-27
1065,4.8,2011-11-28
