"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Jämsä Halli airport","2004","11","22","02:00","3"
"Jämsä Halli airport","2004","11","23","02:00","3"
"Jämsä Halli airport","2004","11","24","02:00","3"
"Jämsä Halli airport","2004","11","25","02:00","5"
"Jämsä Halli airport","2004","11","26","02:00","6"
"Jämsä Halli airport","2004","11","27","02:00","6"
"Jämsä Halli airport","2004","11","28","02:00","6"
"Jämsä Halli airport","2004","11","29","02:00","6"
"Jämsä Halli airport","2004","11","30","02:00","6"
"Jämsä Halli airport","2004","12","1","02:00","8"
"Jämsä Halli airport","2004","12","2","02:00","4"
"Jämsä Halli airport","2004","12","3","02:00","5"
"Jämsä Halli airport","2004","12","4","02:00","5"
"Jämsä Halli airport","2004","12","5","02:00","13"
"Jämsä Halli airport","2004","12","6","02:00","12"
"Jämsä Halli airport","2004","12","7","02:00","12"
"Jämsä Halli airport","2004","12","8","02:00","14"
"Jämsä Halli airport","2004","12","9","02:00","13"
"Jämsä Halli airport","2004","12","10","02:00","13"
"Jämsä Halli airport","2004","12","11","02:00","13"
"Jämsä Halli airport","2004","12","12","02:00","13"
"Jämsä Halli airport","2004","12","13","02:00","13"
"Jämsä Halli airport","2004","12","14","02:00","12"
"Jämsä Halli airport","2004","12","15","02:00","7"
"Jämsä Halli airport","2004","12","16","02:00","4"
"Jämsä Halli airport","2004","12","17","02:00","2"
"Jämsä Halli airport","2004","12","18","02:00","0"
"Jämsä Halli airport","2004","12","19","02:00","0"
"Jämsä Halli airport","2004","12","20","02:00","3"
"Jämsä Halli airport","2004","12","21","02:00","3"
"Jämsä Halli airport","2004","12","22","02:00","3"
"Jämsä Halli airport","2004","12","23","02:00","9"
"Jämsä Halli airport","2004","12","24","02:00","18"
"Jämsä Halli airport","2004","12","25","02:00","18"
"Jämsä Halli airport","2004","12","26","02:00","19"
"Jämsä Halli airport","2004","12","27","02:00","17"
"Jämsä Halli airport","2004","12","28","02:00","17"
"Jämsä Halli airport","2004","12","29","02:00","14"
"Jämsä Halli airport","2004","12","30","02:00","16"
"Jämsä Halli airport","2004","12","31","02:00","17"
"Jämsä Halli airport","2005","1","1","02:00","16"
"Jämsä Halli airport","2005","1","2","02:00","16"
"Jämsä Halli airport","2005","1","3","02:00","19"
"Jämsä Halli airport","2005","1","4","02:00","20"
"Jämsä Halli airport","2005","1","5","02:00","20"
"Jämsä Halli airport","2005","1","6","02:00","34"
"Jämsä Halli airport","2005","1","7","02:00","35"
"Jämsä Halli airport","2005","1","8","02:00","25"
"Jämsä Halli airport","2005","1","9","02:00","20"
"Jämsä Halli airport","2005","1","10","02:00","20"
"Jämsä Halli airport","2005","1","11","02:00","19"
"Jämsä Halli airport","2005","1","12","02:00","19"
"Jämsä Halli airport","2005","1","13","02:00","18"
"Jämsä Halli airport","2005","1","14","02:00","17"
"Jämsä Halli airport","2005","1","15","02:00","17"
"Jämsä Halli airport","2005","1","16","02:00","18"
"Jämsä Halli airport","2005","1","17","02:00","16"
"Jämsä Halli airport","2005","1","18","02:00","12"
"Jämsä Halli airport","2005","1","19","02:00","12"
"Jämsä Halli airport","2005","1","20","02:00","23"
"Jämsä Halli airport","2005","1","21","02:00","21"
"Jämsä Halli airport","2005","1","22","02:00","28"
"Jämsä Halli airport","2005","1","23","02:00","30"
"Jämsä Halli airport","2005","1","24","02:00","30"
"Jämsä Halli airport","2005","1","25","02:00","28"
"Jämsä Halli airport","2005","1","26","02:00","26"
"Jämsä Halli airport","2005","1","27","02:00","29"
"Jämsä Halli airport","2005","1","28","02:00","29"
"Jämsä Halli airport","2005","1","29","02:00","30"
"Jämsä Halli airport","2005","1","30","02:00","30"
"Jämsä Halli airport","2005","1","31","02:00","37"
"Jämsä Halli airport","2005","2","1","02:00","37"
"Jämsä Halli airport","2005","2","2","02:00","37"
"Jämsä Halli airport","2005","2","3","02:00","37"
"Jämsä Halli airport","2005","2","4","02:00","37"
"Jämsä Halli airport","2005","2","5","02:00","38"
"Jämsä Halli airport","2005","2","6","02:00","28"
"Jämsä Halli airport","2005","2","7","02:00","28"
"Jämsä Halli airport","2005","2","8","02:00","28"
"Jämsä Halli airport","2005","2","9","02:00","28"
"Jämsä Halli airport","2005","2","10","02:00","28"
"Jämsä Halli airport","2005","2","11","02:00","28"
"Jämsä Halli airport","2005","2","12","02:00","30"
"Jämsä Halli airport","2005","2","13","02:00","30"
"Jämsä Halli airport","2005","2","14","02:00","29"
"Jämsä Halli airport","2005","2","15","02:00","30"
"Jämsä Halli airport","2005","2","16","02:00","30"
"Jämsä Halli airport","2005","2","17","02:00","30"
"Jämsä Halli airport","2005","2","18","02:00","30"
"Jämsä Halli airport","2005","2","19","02:00","33"
"Jämsä Halli airport","2005","2","20","02:00","36"
"Jämsä Halli airport","2005","2","21","02:00","36"
"Jämsä Halli airport","2005","2","22","02:00","34"
"Jämsä Halli airport","2005","2","23","02:00","34"
"Jämsä Halli airport","2005","2","24","02:00","34"
"Jämsä Halli airport","2005","2","25","02:00","34"
"Jämsä Halli airport","2005","2","26","02:00","34"
"Jämsä Halli airport","2005","2","27","02:00","33"
"Jämsä Halli airport","2005","2","28","02:00","34"
"Jämsä Halli airport","2005","3","1","02:00","34"
"Jämsä Halli airport","2005","3","2","02:00","34"
"Jämsä Halli airport","2005","3","3","02:00","34"
"Jämsä Halli airport","2005","3","4","02:00","35"
"Jämsä Halli airport","2005","3","5","02:00","35"
"Jämsä Halli airport","2005","3","6","02:00","35"
"Jämsä Halli airport","2005","3","7","02:00","34"
"Jämsä Halli airport","2005","3","8","02:00","38"
"Jämsä Halli airport","2005","3","9","02:00","38"
"Jämsä Halli airport","2005","3","10","02:00","38"
"Jämsä Halli airport","2005","3","11","02:00","38"
"Jämsä Halli airport","2005","3","12","02:00","38"
"Jämsä Halli airport","2005","3","13","02:00","38"
"Jämsä Halli airport","2005","3","14","02:00","37"
"Jämsä Halli airport","2005","3","15","02:00","37"
"Jämsä Halli airport","2005","3","16","02:00","38"
"Jämsä Halli airport","2005","3","17","02:00","38"
"Jämsä Halli airport","2005","3","18","02:00","42"
"Jämsä Halli airport","2005","3","19","02:00","38"
"Jämsä Halli airport","2005","3","20","02:00","38"
"Jämsä Halli airport","2005","3","21","02:00","38"
"Jämsä Halli airport","2005","3","22","02:00","38"
"Jämsä Halli airport","2005","3","23","02:00","36"
"Jämsä Halli airport","2005","3","24","02:00","32"
"Jämsä Halli airport","2005","3","25","02:00","28"
"Jämsä Halli airport","2005","3","26","02:00","23"
"Jämsä Halli airport","2005","3","27","02:00","21"
"Jämsä Halli airport","2005","3","28","03:00","21"
"Jämsä Halli airport","2005","3","29","03:00","21"
"Jämsä Halli airport","2005","3","30","03:00","21"
"Jämsä Halli airport","2005","3","31","03:00","19"
"Jämsä Halli airport","2005","4","1","03:00","16"
"Jämsä Halli airport","2005","4","2","03:00","14"
"Jämsä Halli airport","2005","4","3","03:00","12"
"Jämsä Halli airport","2005","4","4","03:00","9"
"Jämsä Halli airport","2005","4","5","03:00","4"
"Jämsä Halli airport","2005","4","6","03:00","0"
"Jämsä Halli airport","2005","4","7","03:00","0"
"Jämsä Halli airport","2005","4","8","03:00","0"
"Jämsä Halli airport","2005","4","9","03:00","0"
"Jämsä Halli airport","2005","4","10","03:00","0"
"Jämsä Halli airport","2005","4","11","03:00","0"
"Jämsä Halli airport","2005","4","12","03:00","0"
"Jämsä Halli airport","2005","4","13","03:00","0"
"Jämsä Halli airport","2005","4","14","03:00","0"
"Jämsä Halli airport","2005","4","15","03:00","-1"
"Jämsä Halli airport","2005","4","16","03:00","-1"
"Jämsä Halli airport","2005","4","17","03:00","-1"
"Jämsä Halli airport","2005","4","18","03:00","-1"
"Jämsä Halli airport","2005","4","19","03:00","0"
"Jämsä Halli airport","2005","4","20","03:00","-1"
"Jämsä Halli airport","2005","4","21","03:00","-1"
"Jämsä Halli airport","2005","4","22","03:00","0"
"Jämsä Halli airport","2005","4","23","03:00","-1"
"Jämsä Halli airport","2005","4","24","03:00","-1"
"Jämsä Halli airport","2005","4","25","03:00","-1"
"Jämsä Halli airport","2005","4","26","03:00","-1"
"Jämsä Halli airport","2005","4","27","03:00","-1"
"Jämsä Halli airport","2005","4","28","03:00","-1"
"Jämsä Halli airport","2005","4","29","03:00","-1"
"Jämsä Halli airport","2005","4","30","03:00","-1"
"Jämsä Halli airport","2005","5","1","03:00","0"
"Jämsä Halli airport","2005","5","2","03:00","-1"
"Jämsä Halli airport","2005","5","3","03:00","-1"
"Jämsä Halli airport","2005","5","4","03:00","-1"
"Jämsä Halli airport","2005","5","5","03:00","-1"
"Jämsä Halli airport","2005","5","6","03:00","-1"
"Jämsä Halli airport","2005","5","7","03:00","-1"
"Jämsä Halli airport","2005","5","8","03:00","-1"
"Jämsä Halli airport","2005","5","9","03:00","-1"
"Jämsä Halli airport","2005","5","10","03:00","-1"
"Jämsä Halli airport","2005","5","11","03:00","-1"
"Jämsä Halli airport","2005","5","12","03:00","-1"
"Jämsä Halli airport","2005","5","13","03:00","-1"
"Jämsä Halli airport","2005","5","14","03:00","-1"
"Jämsä Halli airport","2005","5","15","03:00","-1"
"Jämsä Halli airport","2005","5","16","03:00","-1"
"Jämsä Halli airport","2005","5","17","03:00","-1"
"Jämsä Halli airport","2005","5","18","03:00","-1"
"Jämsä Halli airport","2005","5","19","03:00","-1"
"Jämsä Halli airport","2005","5","20","03:00","-1"
"Jämsä Halli airport","2005","5","21","03:00","-1"
"Jämsä Halli airport","2005","5","22","03:00","-1"
"Jämsä Halli airport","2005","5","23","03:00","-1"
"Jämsä Halli airport","2005","5","24","03:00","-1"
"Jämsä Halli airport","2005","5","25","03:00","-1"
"Jämsä Halli airport","2005","5","26","03:00","-1"
"Jämsä Halli airport","2005","5","27","03:00","-1"
"Jämsä Halli airport","2005","5","28","03:00","-1"
"Jämsä Halli airport","2005","5","29","03:00","-1"
"Jämsä Halli airport","2005","5","30","03:00","-1"
"Jämsä Halli airport","2005","5","31","03:00","-1"
"Jämsä Halli airport","2005","6","1","03:00","-1"
"Jämsä Halli airport","2005","6","2","03:00","-1"
"Jämsä Halli airport","2005","6","3","03:00","-1"
"Jämsä Halli airport","2005","6","4","03:00","-1"
